,Topic,Count,Name,CustomName,Representation,Representative_Docs
0,0,393,0_kamerverkiezingen_partijen_stem_29 oktober,"0, kamerverkiezingen, partijen, stem, 29 oktober, 29, gemeente, kamer, klik, belangrijk, mee","['kamerverkiezingen', 'partijen', 'stem', '29 oktober', '29', 'gemeente', 'kamer', 'klik', 'belangrijk', 'mee']",
1,1,157,1_timmermans_frans_frans timmermans_pvda,"1, timmermans, frans, frans timmermans, pvda, groenlinks, groenlinks pvda, și, în, ngo, europese","['timmermans', 'frans', 'frans timmermans', 'pvda', 'groenlinks', 'groenlinks pvda', 'și', 'în', 'ngo', 'europese']",
2,2,141,2_bontenbal_cda_henri_henri bontenbal,"2, bontenbal, cda, henri, henri bontenbal, cda leider, leider henri, alsof, bontenbal cda, leider, vertrouwen","['bontenbal', 'cda', 'henri', 'henri bontenbal', 'cda leider', 'leider henri', 'alsof', 'bontenbal cda', 'leider', 'vertrouwen']",
3,3,135,3_uh_eu_fvd_democratie,"3, uh, eu, fvd, democratie, vos, land, immigratie, lidewij, lidewij vos, vorm democratie","['uh', 'eu', 'fvd', 'democratie', 'vos', 'land', 'immigratie', 'lidewij', 'lidewij vos', 'vorm democratie']",
4,4,118,4_vvd_yesilgöz_dilan_dilan yesilgöz,"4, vvd, yesilgöz, dilan, dilan yesilgöz, antifa, kabinet, eh, partijen, the, ehm","['vvd', 'yesilgöz', 'dilan', 'dilan yesilgöz', 'antifa', 'kabinet', 'eh', 'partijen', 'the', 'ehm']",
5,5,92,5_lidewij_vos_lidewij vos_disclosurelibrary,"5, lidewij, vos, lidewij vos, disclosurelibrary, https disclosurelibrary, fvd, gweverstegen, https gweverstegen, vos fvd, boodschap","['lidewij', 'vos', 'lidewij vos', 'disclosurelibrary', 'https disclosurelibrary', 'fvd', 'gweverstegen', 'https gweverstegen', 'vos fvd', 'boodschap']",
6,6,150,6_jetten_rob_rob jetten_d66,"6, jetten, rob, rob jetten, d66, jetten d66, moraal, d66 leider, slimste mens, slimste, leider rob","['jetten', 'rob', 'rob jetten', 'd66', 'jetten d66', 'moraal', 'd66 leider', 'slimste mens', 'slimste', 'leider rob']",
7,7,70,7_scholen_onderwijs_vrijheid_bontenbal,"7, scholen, onderwijs, vrijheid, bontenbal, artikel, artikel 23, cda, homo, 23, henri bontenbal","['scholen', 'onderwijs', 'vrijheid', 'bontenbal', 'artikel', 'artikel 23', 'cda', 'homo', '23', 'henri bontenbal']",
8,8,101,8_vos_lidewij_lidewij vos_fvd,"8, vos, lidewij, lidewij vos, fvd, visie, groningers, در, vos fvd, nieuwe, media","['vos', 'lidewij', 'lidewij vos', 'fvd', 'visie', 'groningers', 'در', 'vos fvd', 'nieuwe', 'media']",
9,9,92,9_geert_geert wilders_macht_kiezers,"9, geert, geert wilders, macht, kiezers, vvd, kabinet, fortuyns, yeşilgöz, bbb, partijen","['geert', 'geert wilders', 'macht', 'kiezers', 'vvd', 'kabinet', 'fortuyns', 'yeşilgöz', 'bbb', 'partijen']",
